"","lemma","n","rank","sum"
"258","*pop*",1,58066.5,258
"259","*prout*",1,58066.5,259
"260","*PSG",1,58066.5,260
"261","*PULL",1,58066.5,261
"262","*Quoi",1,58066.5,262
"263","*rires*5",1,58066.5,263
"264","*sa*",1,58066.5,264
"265","*Salut",1,58066.5,265
"266","*sample",1,58066.5,266
"267","*SaoulÈs*",1,58066.5,267
"268","*Scraaatch*",1,58066.5,268
"269","*Scratch*.",1,58066.5,269
"270","*Scratches*",1,58066.5,270
"271","*Sifflement*.",1,58066.5,271
"272","*soufflements*",1,58066.5,272
"273","*Tir",1,58066.5,273
"274","*tous*",1,58066.5,274
"275","*tuj*",1,58066.5,275
"276",",(",1,58066.5,276
"277",",ah",1,58066.5,277
"278",",Chanel",1,58066.5,278
"279",",dans",1,58066.5,279
"280",",der",1,58066.5,280
"281",",dimanc",1,58066.5,281
"282",",du",1,58066.5,282
"283",",el",1,58066.5,283
"284",",elle",1,58066.5,284
"285",",film",1,58066.5,285
"286",",high",1,58066.5,286
"287",",inceste",1,58066.5,287
"288",",intrinsËque",1,58066.5,288
"289",",l",1,58066.5,289
"290",",l'ÈtÈ",1,58066.5,290
"291",",ler",1,58066.5,291
"292",",leur",1,58066.5,292
"293",",Leur",1,58066.5,293
"294",",maintener",1,58066.5,294
"295",",mais",1,58066.5,295
"296",",maÓtur",1,58066.5,296
"297",",meskine",1,58066.5,297
"298",",ouais",1,58066.5,298
"299",",Ouais",1,58066.5,299
"300",",oui",1,58066.5,300
"301",",pencher",1,58066.5,301
"302",",plus",1,58066.5,302
"303",",proche",1,58066.5,303
"304",",quí",1,58066.5,304
"305",",rÈussir",1,58066.5,305
"306",",son",1,58066.5,306
"307",",ter",1,58066.5,307
"308",",triple",1,58066.5,308
"309",",un",1,58066.5,309
"310",",vieux",1,58066.5,310
"311",",voir",1,58066.5,311
"312",",y",1,58066.5,312
"313",",y'er",1,58066.5,313
"314",",Z,A.",1,58066.5,314
"315",".'",1,58066.5,315
"316",".-ber",1,58066.5,316
"317",". .",1,58066.5,317
"318","..!.",1,58066.5,318
"319","..)",1,58066.5,319
"320","...!?",1,58066.5,320
"321","...*",1,58066.5,321
"322","...*38",1,58066.5,322
"323","....dan",1,58066.5,323
"324","...}",1,58066.5,324
"325","...12",1,58066.5,325
"326","...15",1,58066.5,326
"327","...19",1,58066.5,327
"328","...1Embed",1,58066.5,328
"329","...21",1,58066.5,329
"330","...30",1,58066.5,330
"331","...35",1,58066.5,331
"332","...37",1,58066.5,332
"333","...41",1,58066.5,333
"334","...5",1,58066.5,334
"335","...6",1,58066.5,335
"336","...7",1,58066.5,336
"337","...allÙ",1,58066.5,337
"338","...Back",1,58066.5,338
"339","...Bois",1,58066.5,339
"340","...Áa",1,58066.5,340
"341","...Ccord",1,58066.5,341
"342","...ce",1,58066.5,342
"343","...comme",1,58066.5,343
"344","...dans",1,58066.5,344
"345","...der",1,58066.5,345
"346","...eh",1,58066.5,346
"347","...hahaha",1,58066.5,347
"348","...Ils",1,58066.5,348
"349","...in",1,58066.5,349
"350","...Jante",1,58066.5,350
"351","...ke",1,58066.5,351
"352","...le",1,58066.5,352
"353","...let's",1,58066.5,353
"354","...Lol",1,58066.5,354
"355","...Mokless",1,58066.5,355
"356","...Nique",1,58066.5,356
"357","...Papi",1,58066.5,357
"358","...pff",1,58066.5,358
"359","...pour",1,58066.5,359
"360","...que",1,58066.5,360
"361","...qui",1,58066.5,361
"362","...Scred",1,58066.5,362
"363","...Shadow",1,58066.5,363
"364","...si",1,58066.5,364
"365","...Snip",1,58066.5,365
"366","...son",1,58066.5,366
"367","...T.O",1,58066.5,367
"368","...ti-B",1,58066.5,368
"369","...Tiens",1,58066.5,369
"370","...Tu",1,58066.5,370
"371","...Va",1,58066.5,371
"372","...you",1,58066.5,372
"373","..2",1,58066.5,373
